P1060320	Bicycle race in Kampala	http://www.youtube.com/watch?v=Aw2KP7Pyni4&feature=youtube_gdata_player	Bicycle race in Kampala	africa, uganda, kampala, bicycle, race	12	115
P1110013	Tug-of-war with a cheetah cub	http://www.youtube.com/watch?v=JwO2G9NOyIw&feature=youtube_gdata_player	Playing with a cheetah cub at the Cheetah Park.	namibia	48	43
P1110314	Little bird	http://www.youtube.com/watch?v=nRrsPoS8yO0&feature=youtube_gdata_player	A little bird living its life in the middle of a noisy seal colony, Cape Cross	namibia	27	8
P1050768	Tourists dancing together with Samburu women	http://www.youtube.com/watch?v=oQ7aYfyUMp8&feature=youtube_gdata_player		kenya, samburu, umoja	34	83
P1050765	Samburu women singing	http://www.youtube.com/watch?v=rBPuFW3Mx1E&feature=youtube_gdata_player	Samburu women (of the Umoja village) singing and dancing. The song is about comparing how many cows each of the women has (if I remember correctly). See also en.wikipedia.org	africa, kenya, samburu, umoja	134	179
P1110925	Packing Crowned Crane	http://www.youtube.com/watch?v=0VYm6ive3HU&feature=youtube_gdata_player	Last time packing Crowned Crane, the tent that we previously slept in for ±70 days (and that we had to put up every evening and pack up every morning). In the background: smell of orange trees (not recorded).	south_africa	276	14
P1110040	Cheetahs eating liver	http://www.youtube.com/watch?v=Vq_kLcZk4ig&feature=youtube_gdata_player	Three domesticated cheetahs having lunch (donkey liver?) at Cheetah Park, Namibia	namibia	72	186
P1050291	Travelling along the Nairobi-Arusha road	http://www.youtube.com/watch?v=_ldyh1tIKOQ&feature=youtube_gdata_player	First day in Africa, getting to know the local road conditions.	kenya, tanzania	50	139
P1080024	Traffic in Arusha	http://www.youtube.com/watch?v=SCLie8zIGyk&feature=youtube_gdata_player	Filmed from a car when driving into Arusha	tanzania	21	28
P1060478	Mountain gorillas	http://www.youtube.com/watch?v=zaQD8GcAt3c&feature=youtube_gdata_player	Mountain gorillas from the Sabyinyo family at the Volcanoes National Park.	africa, rwanda, volcanoes, gorillas	31	25
