20091223	dbl+b, Hostel Hobo Hideout, Iquitos
20091224	dbl+b, Hostel Hobo Hideout, Iquitos
20091225	dbl+b, Hostel Hobo Hideout, Iquitos
20091226	bus, Lima -> Trujillo
20091227	dbl+b, Plazuela el Recreo, Trujillo
20091228	bus, Trujillo -> Aguas Verdes
20091229	bus, Huaquillas -> Quito
20091230	dbl-b, L'Auberge Inn, Quito
20091231	dbl+b, Torre Malaga, Quito
20100101	dbl+b, Torre Malaga, Quito
20100102	dbl-b, Hostel San Luis, Otavalo
20100103	dbl+b, Torre Malaga, Quito
20100104	dbl+b, Cabañas, Quilotoa
20100105	dbl+b, Plantas y Blanco, Baños
20100106	dbl+b, Plantas y Blanco, Baños
20100107	dbl+b, Plantas y Blanco, Baños
20100108	dbl+b, Transilvania, Baños, Ecuador
20100109	dbl+b, Transilvania, Baños, Ecuador
20100110	dbl+b, Transilvania, Baños, Ecuador
20100111	dbl+b, Transilvania, Baños, Ecuador
20100112	dbl+b, Transilvania, Baños, Ecuador
20100113	dbl+b, Transilvania, Baños, Ecuador
20100114	dbl+b, Hotel Ecuador, Guayaquil
20100115	dbl+b, Hotel Ecuador, Guayaquil
20100116	dbl+b, Hotel Lirio del Mar, Puerto Ayora
20100117	dbl+b, Hotel Lirio del Mar, Puerto Ayora
20100118	dbl+b, Hotel Lirio del Mar, Puerto Ayora
20100119	dbl+b/boat, Flamingo
20100120	roof/dbl+b/boat, Flamingo
20100121	roof/dbl+b/boat, Flamingo
20100122	dbl+b, El Cafecito, Cuenca
20100123	dbl-b, Hotel Pichinca, Cuenca
20100124	bus, Cuenca -> Piura
20100125	bus, Piura -> Lima
20100126	dbl+b, San Isidro, Pisco
20100127	dbl-b, San Isidro, Pisco
20100128	dbl-b, Yemeyá, Nazca
20100129	dbl-b, Yemeyá, Nazca
20100130	dbl-b, Yemeyá, Nazca
20100131	bus, Nazca -> Arequipa
20100201	dbl-b, Hostal Like Home, Arequipa
20100202	dbl-b, Hostal Like Home, Arequipa
20100203	dbl-b, Cosñirhua, Colca canyon
20100204	dbl-b, Paraiso, Sangalle, Colca canyon
