 "Al QÄhirah"	 "EG",
 "Novosibirsk"	 "RU",
 "Novosibirsk"	 "RU",
 "Omsk"	 "RU",
 "Omsk"	 "RU",
 "Tjumen"	 "RU",
 "Sverdlovsk"	 "RU",
 "Sverdlovsk"	 "RU",
 "Permskaya Oblastï¿½"	 "RU",
 "Permskaya Oblastï¿½"	 "RU",
 "Permskaya Oblastï¿½"	 "RU",
 "Kirov"	 "RU",
 "Kirov"	 "RU",
 "Vologda"	 "RU",
 "Vologda"	 "RU",
 "Vologda"	 "RU",
 "Vologda"	 "RU",
 "Vologda"	 "RU",
 "Leningrad"	 "RU",
 "Leningrad"	 "RU",
 "Southern Finland"	 "FI",
 "Southern Finland"	 "FI",
 "Southern Finland"	 "FI",
 "Uusimaa"	 "FI",
 "Uusimaa"	 "FI",
 "Uusimaa"	 "FI",
 "Uusimaa"	 "FI",
 "Southern Finland"	 "FI",
 "Southern Finland"	 "FI",
 "Southern Finland"	 "FI",
 "Southern Finland"	 "FI",
 "Southern Finland"	 "FI",
 "Southern Finland"	 "FI",
 "Harjumaa"	 "EE",
 "Harjumaa"	 "EE",
 "Harjumaa"	 "EE",
UNDEF	 "EE"
